"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162407",25853.6620173955,-0.990986896410247,0.0772423042750837,-12.8247267901589,1.1920602765738e-37,2.16934467246434e-35
"ENSG00000163513",13216.6476019075,1.42421854332662,0.112182232074642,12.6992359031868,5.97098286106203e-37,1.07501816682393e-34
"ENSG00000163431",4934.73010201059,1.14546557320351,0.090273991917022,12.6964215628402,6.18957565290147e-37,1.10322996437316e-34
"ENSG00000246430",2162.53881470905,1.95878535289844,0.154525461666678,12.674362184627,8.20231455230158e-37,1.4475054908933e-34
"ENSG00000046653",1090.45825722703,2.27776597789962,0.178251349311774,12.5695036464115,3.106681904163e-36,5.4287743391962e-34
"ENSG00000106617",1018.35298653981,1.5658007906928,0.124897528585233,12.5638328880975,3.33763841420918e-36,5.77573466940431e-34
"ENSG00000137809",1115.80003263854,-1.64800311038772,0.132539217352462,-12.5353010731791,4.78540639651983e-36,8.2014503472663e-34
"ENSG00000099998",506.244766658562,2.21634981797027,0.17650087926438,12.5303240049819,5.09540847700204e-36,8.64957720896041e-34
"ENSG00000115457",1919.14850283236,2.0657854689998,0.169897539324818,12.261815373436,1.4520985155787e-34,2.44171735298819e-32
"ENSG00000160200",834.066631033772,1.2195545418381,0.100021051032962,12.1920735572076,3.42591695768267e-34,5.7068732573585e-32
"ENSG00000128923",1415.67842643882,1.02466492149975,0.084272652517679,12.1597663727718,5.09040592378558e-34,8.40105510977353e-32
"ENSG00000174306",3234.85251306157,1.11406218687952,0.0917155717552794,12.1420426414964,6.32276401513626e-34,1.03391693399806e-31
"ENSG00000123562",5040.48267766273,1.01498488711072,0.0836633313253135,12.1315565524087,7.18702026651159e-34,1.16455862936639e-31
"ENSG00000125868",15848.9769017164,0.907481638044032,0.074828093713089,12.1264154751544,7.65264242793748e-34,1.22883512284286e-31
"ENSG00000214814",243.276976467197,-2.75219976674789,0.223746094642918,-12.0889546381155,1.20814129914271e-33,1.92267058177854e-31
"ENSG00000162772",373.51179517354,1.83956277342677,0.151742214983618,12.0709354151952,1.50414731858565e-33,2.37255945190005e-31
"ENSG00000164125",5596.34966690866,1.10728339802846,0.0919471943847979,12.0428082025552,2.11626809137812e-33,3.30880372462488e-31
"ENSG00000119508",216.673741809452,1.97713044295353,0.163187717683445,12.0345979193755,2.33770166671802e-33,3.62323430500712e-31
"ENSG00000173918",992.659399454996,1.22840377467405,0.102194719360701,12.0256718223857,2.60460873275621e-33,4.00211603902126e-31
"ENSG00000109861",4058.013382052,1.00481106478828,0.0836957596262763,12.0100489797695,3.14658635255244e-33,4.79356881605937e-31
"ENSG00000114098",1010.29346134236,1.31702553136821,0.109890274887083,11.9775895410377,4.65667081542767e-33,7.0339407300155e-31
"ENSG00000145777",152.372544224853,-2.53523428425993,0.20968520804201,-11.9483821067879,6.62014581898178e-33,9.91575454433036e-31
"ENSG00000139289",1975.8673223812,-0.979825707330586,0.0820371524694109,-11.9433608625564,7.03230950657381e-33,1.0445323720431e-30
"ENSG00000077684",1570.63461014914,1.17910588099848,0.0988899411671061,11.9195108860127,9.36567504034405e-33,1.37961811503382e-30
"ENSG00000114270",1546.90699729354,1.20973323549142,0.101723357693363,11.8933312729939,1.28189649697912e-32,1.87282976738983e-30
"ENSG00000103485",865.205449337359,-1.1898129583866,0.100274733482626,-11.862450081853,1.85467282893889e-32,2.68761695146396e-30
"ENSG00000155130",5654.05696431278,-1.16954034078698,0.0994871655050501,-11.7609610043026,6.20242736175756e-32,8.91548913677151e-30
"ENSG00000164442",7510.52587168029,1.50775844108392,0.127930826994301,11.7470091387183,7.31627371434527e-32,1.04324210147592e-29
"ENSG00000138829",15701.2752863824,1.8455340345613,0.156099167543159,11.7308590838681,8.8555294646094e-32,1.25270600934284e-29
"ENSG00000110756",995.251537070175,1.527667349672,0.13028056218218,11.7154544443436,1.06220139945749e-31,1.49076202708113e-29
"ENSG00000144369",1303.27274542406,-1.31668916424547,0.112589625280332,-11.691202135045,1.4137126540857e-31,1.96859487081433e-29
"ENSG00000143320",1492.12556609689,-1.58328556452224,0.135611642973212,-11.6533421839941,2.20632582855528e-31,3.04849236962553e-29
"ENSG00000181467",630.874185291974,-1.24571182417409,0.107361329967848,-11.5971808924042,4.25876967630892e-31,5.83910082388694e-29
"ENSG00000196507",988.842685681754,1.03920421005709,0.0902384961469311,11.5152105249589,1.10589127340509e-30,1.50468748528033e-28
"ENSG00000008256",3716.57738197619,1.16233105943848,0.101295690677427,11.4625507372132,2.0343374760852e-30,2.74697205861687e-28
"ENSG00000116584",2250.59694884394,-1.00141192916962,0.0877759421239958,-11.4085231597357,3.79111231136864e-30,5.08066058931088e-28
"ENSG00000140545",9199.62673062643,1.09123693513265,0.0965485494956503,11.3118134834838,1.14694120123226e-29,1.52560298289282e-27
"ENSG00000154864",153.23479367767,-2.32039524849962,0.205721906690838,-11.1609953688114,6.32790809342098e-29,8.35471361904708e-27
"ENSG00000072958",2129.43443527067,1.06738793248975,0.0959078829010517,11.1272677193691,9.24252095802652e-29,1.21131392320489e-26
"ENSG00000177283",115.085170511591,2.27719342974728,0.203257471398186,11.1177847315462,1.02792653723169e-28,1.33735493427866e-26
"ENSG00000146592",669.401293086846,-1.91909606322554,0.173710735488924,-11.0902157995656,1.39949743046695e-28,1.80758276816253e-26
"ENSG00000205978",1601.04659220405,-1.13429277249166,0.102713179683204,-11.0401659857199,2.44580933615933e-28,3.13626659048229e-26
"ENSG00000133216",344.056124155505,-1.67965772035333,0.153062492098869,-11.0062749535713,3.56438054767631e-28,4.53796563441304e-26
"ENSG00000243244",996.175141904114,1.37285794741151,0.124648490049602,10.9977957514236,3.91586878721156e-28,4.95010250094035e-26
"ENSG00000136546",4991.26837107808,1.33502195787175,0.121162468787161,10.9889887919294,4.3173593401737e-28,5.41919809008845e-26
"ENSG00000096060",2564.36222687268,3.17706014720084,0.296573046317673,10.9435855953097,7.13222000393428e-28,8.88983841609264e-26
"ENSG00000166482",26348.2769204739,-0.954622360312444,0.0874698679468374,-10.9159177934071,9.67471193752216e-28,1.19751434426663e-25
"ENSG00000092621",1231.10242762368,-1.38477881039034,0.126820342962628,-10.9125553323515,1.00393992044964e-27,1.23408449255824e-25
"ENSG00000187498",2283.83180964209,1.28386994980421,0.117598795563187,10.9012035959894,1.13742641696427e-27,1.38859509972405e-25
"ENSG00000123243",13780.7294600191,-0.938642519528478,0.0865615781251909,-10.8727236769577,1.5548850244482e-27,1.88532453576631e-25
"ENSG00000163491",160.225059048447,-2.27356026263464,0.208248286129219,-10.8631497874247,1.72688056142602e-27,2.0797242653282e-25
"ENSG00000183160",2987.67071981722,-1.1484871378323,0.106249999979487,-10.8115183559619,3.03602792918691e-27,3.63182294025688e-25
"ENSG00000165507",18353.5745925703,1.5031131572191,0.1387416380504,10.7948909929643,3.6389408614074e-27,4.3240321275817e-25
"ENSG00000233117",77.6318352361788,2.89455710674738,0.258456446976938,10.7854580103159,4.03229626039523e-27,4.75971182419103e-25
"ENSG00000127083",304.476810780945,1.71413119385691,0.15942166525094,10.7693454551098,4.80404282077231e-27,5.63337231825301e-25
"ENSG00000177666",1701.23387978068,1.08005959334104,0.100452013596241,10.7491839975061,5.97881918879816e-27,6.96512896870186e-25
"ENSG00000069431",849.101371746355,1.0381084870079,0.0966699755013195,10.7446468725261,6.28017818315112e-27,7.26869454133023e-25
"ENSG00000102466",664.683572935525,1.18783984844705,0.11094729667278,10.7135424139519,8.79313936181204e-27,1.01115429667702e-24
"ENSG00000162496",3691.99970068906,1.06953865484237,0.0998352072865024,10.6896389499374,1.13813166274272e-26,1.30038838184143e-24
"ENSG00000177674",751.373295308449,1.09293720551194,0.102442430598646,10.6712232714187,1.38787065734599e-26,1.57563099340987e-24
"ENSG00000131386",11496.4862074381,1.54220380596897,0.145413232892057,10.6695131375461,1.41365139636267e-26,1.59474192966887e-24
"ENSG00000180914",568.703497425714,1.77784055843552,0.165274017546514,10.6379097684116,1.98533067917264e-26,2.22556817770901e-24
